Reactor,T,pH,Inoculo,Actividad
1,28,5,30,0.788
2,28,7,30,13.183
3,28,6,20,4.037
4,28,5,10,0.063
5,28,7,10,5.362
6,28,5,30,0.599
7,28,7,30,14.949
8,28,6,20,3.722
9,28,5,10,0.095
10,28,7,10,2.807
11,28,5,30,0.284
12,28,7,30,15.075
13,28,6,20,3.677
14,28,5,10,0.126
15,28,7,10,2.723
1,32,6,20,16.035
2,32,5,20,12.552
3,32,6,20,17.756
4,32,7,20,1.189
5,32,6,10,11.354
6,32,6,30,0.944
7,32,6,20,19.238
8,32,5,20,14.697
9,32,6,20,17.293
10,32,7,20,3.406
11,32,6,10,10.25
12,32,6,30,1.293
13,32,6,20,16.183
14,32,5,20,11.345
15,32,6,20,19.135
16,32,7,20,2.397
17,32,6,10,9.935
18,32,6,30,1.189
1,36,7,10,0.032
2,36,7,30,0.221
3,36,5,30,7.664
4,36,5,10,13.215
5,36,6,20,0.158
6,36,7,10,0.063
7,36,7,30,0.252
8,36,5,30,6.686
9,36,5,10,11.07
10,36,6,20,0.189
11,36,7,10,0.032
12,36,7,30,0.252
13,36,5,30,4.371
14,36,5,10,15.738
15,36,6,20,0.307
